"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"a0"
"03/28/2559 15:10:48:959 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","workers-probability","number-workers","adversaries-type","adversaries-rate","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"4","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.166666666666664"
"8","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","50"
"2","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","52.083333333333336"
"6","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","47.916666666666664"
"3","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","54.166666666666664"
"7","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","41.666666666666664"
"5","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","47.916666666666664"
"9","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","62.5"
"11","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","50"
"14","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","47.916666666666664"
"10","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","60.416666666666664"
"12","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","47.916666666666664"
"13","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","47.916666666666664"
"15","50","100","""3. perfect""","0","""normal""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","58.333333333333336"
