"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"a3.2"
"03/29/2559 20:45:42:573 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"7","6","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"4","3","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"2","1","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"3","2","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"6","5","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"5","4","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"8","7","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"9","8","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"10","9","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"11","10","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"12","11","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"14","13","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"13","12","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"15","14","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"16","15","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"17","16","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"18","17","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"20","19","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"19","18","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"22","21","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"21","20","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"23","22","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"24","23","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"25","24","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"27","26","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"26","25","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"28","27","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"29","28","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"30","29","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"32","31","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"31","30","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"1","0","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"33","32","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"35","34","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"34","33","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"36","35","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"37","36","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"38","37","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"39","38","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"41","40","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"42","41","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"43","42","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"44","43","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"45","44","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"46","45","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"47","46","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"40","39","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"48","47","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"49","48","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"50","49","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"51","50","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"52","51","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"53","52","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"54","53","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"56","55","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"57","56","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"58","57","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"59","58","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"55","54","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"60","59","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
