"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"em11arearate"
"04/26/2559 15:58:51:677 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","cut-workers-per-round","start-cut","[step]","sum-correctness / floor(ticks / update-ticks)"
"3","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"2","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"4","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"6","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
"5","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"7","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"8","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"9","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"11","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"10","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"14","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"13","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
"12","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
"15","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"16","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"17","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"20","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"18","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"21","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
"19","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"22","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"23","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"28","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"24","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"25","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"27","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"26","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"29","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"30","1","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"31","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"32","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"33","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"35","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
"34","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
"36","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","100"
"37","2","2","100","100","""1. fixed : flood""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""None""","true","false","1","3","1441","99.91666666666667"
