"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"emsoft11morecut"
"04/24/2559 03:25:43:414 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","cut-workers-per-round","start-cut","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","max-count-send","[step]","sum-correctness / floor(ticks / update-ticks)"
"4","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"8","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"3","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"6","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"2","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"7","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"5","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"9","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"10","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"11","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"13","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"12","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"14","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"15","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"17","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"16","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"19","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"18","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"20","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"21","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"22","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"23","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"24","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"25","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"27","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"26","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"28","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"29","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"1","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"30","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"31","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"33","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"32","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"34","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"35","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"36","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"38","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"39","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"41","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"40","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"42","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
"43","1","3","60","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","1441","54.166666666666664"
