"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"emsoft12arearate"
"04/26/2559 21:51:18:153 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","cut-workers-per-round","start-cut","[step]","sum-correctness / floor(ticks / update-ticks)"
"4","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"2","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"3","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"5","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.75"
"7","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.83333333333333"
"6","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"8","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"1","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"10","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"13","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"9","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.83333333333333"
"11","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"14","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"15","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"12","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"18","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"21","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"17","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"20","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"19","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"23","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"22","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"16","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"24","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"27","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.83333333333333"
"25","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"28","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"26","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.83333333333333"
"30","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"29","1","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"31","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"32","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"33","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"36","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"34","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"35","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"38","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"37","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"39","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"40","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"41","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"46","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"43","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"42","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"45","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"44","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"48","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"49","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"50","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"51","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"52","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.83333333333333"
"53","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"54","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"47","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"55","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"56","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
"57","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"58","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"59","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"60","2","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"61","3","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.91666666666667"
"63","3","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","99.83333333333333"
"62","3","2","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","false","1","3","1441","100"
