"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"emsoft2precision"
"04/20/2559 15:08:52:335 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"4","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"6","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"2","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"7","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"1","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"5","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"8","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"3","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"9","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"11","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"10","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"13","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"14","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"16","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"15","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"12","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"17","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"22","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"23","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"20","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"21","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"18","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"24","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"19","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"25","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"28","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"26","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"27","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"30","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"29","1","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.06666666666666667"
"32","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"31","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"36","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"33","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"34","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"35","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"38","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"37","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"39","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"40","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"41","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"42","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"44","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"46","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"45","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"43","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"48","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"49","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"47","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"53","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
"50","2","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.13333333333333333"
