BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,,,
marcs_dday.nlogo,,,,,,,,,,,,,,,,,
emsoft3dday1,,,,,,,,,,,,,,,,,
04/18/2559 14:41:24:986 +0700,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,
[run number],max-count-send,adversaries-rate,start-cut,number-workers,workers-probability,adversaries-type,problem-label,area.x,area.y,label-level,data-fusion,reputation-algorithm,use-cut-worker-by-penalty?,cut-workers-per-round,show-penalty?,[step],sum-correctness / floor(ticks / update-ticks)
5,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,77.3084349593
6,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,81.3376436782
7,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,81.070251938
3,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,79.699695122
2,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,83.0377747253
8,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,83.4952651515
4,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,79.5904535865
1,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,77.8152610442
9,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,85.5887172285
10,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,83.6668956044
11,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,81.2242509363
12,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,83.3680555556
14,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,80.0509259259
13,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,84.9764492754
15,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,80.0674019608
16,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,82.9895833333
17,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,80.4456928839
21,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,76.2735943775
18,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,84.9564393939
19,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,78.8570675105
22,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,82.1074297189
20,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,83.4750957854
23,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,82.0700301205
24,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,81.9305555556
25,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""EM Algorithm""","""Soft Penalty""",true,1,false,1441,78.1438492063
