"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"emsoft3dday3"
"04/18/2559 14:36:41:664 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-count-send","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"5","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","87.51615646258504"
"2","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.86727528089887"
"8","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.28235815602837"
"7","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","87.76615646258504"
"4","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","84.25452898550725"
"6","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","84.71286231884058"
"3","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.38486842105264"
"1","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","87.55605670103093"
"9","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","88.76358695652175"
"11","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.98913043478261"
"10","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.51285460992908"
"13","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","88.78472222222223"
"12","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.32402482269504"
"14","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","86.24122807017544"
"15","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","82.6828231292517"
"16","1","15","5","300","100","""3. perfect""","""random""","10","10","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1441","83.42287234042554"
