"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mv3dday1plus"
"04/18/2559 14:38:48:573 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-count-send","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"4","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"7","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"3","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","96.47916666666667"
"5","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"8","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"6","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"2","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"1","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"12","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"9","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"15","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"11","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"10","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","99.60416666666667"
"14","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"13","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"16","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"17","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"19","14","15","5","100","100","""3. perfect""","""random""","10","10","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
