BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,,,
marcs_dday.nlogo,,,,,,,,,,,,,,,,,
mvhard3dday1,,,,,,,,,,,,,,,,,
04/18/2559 04:50:57:122 +0700,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,
[run number],max-count-send,adversaries-rate,start-cut,number-workers,workers-probability,adversaries-type,problem-label,area.x,area.y,label-level,data-fusion,reputation-algorithm,use-cut-worker-by-penalty?,cut-workers-per-round,show-penalty?,[step],sum-correctness / floor(ticks / update-ticks)
6,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,81.2770969499
7,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,78.8853114478
2,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,79.5016233766
3,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,81.0595723721
8,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,76.4040262172
5,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,82.7884987113
4,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,84.1107954545
1,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,78.4771825397
9,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,76.4237669809
10,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,81.044384058
11,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,80.3261058865
15,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,77.6780387442
12,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,81.0125505996
13,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,74.3392857143
14,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,82.3899410774
16,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,75.1814694269
17,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,83.2137684314
18,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,79.2035984848
19,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,78.3796296296
20,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Hard Penalty""",true,1,false,1441,81.5034797008
