"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"mvsoft11dday2"
"04/18/2559 15:55:38:352 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","max-count-send","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"3","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"6","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.6666666666666666"
"5","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"7","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.7333333333333333"
"8","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"2","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"4","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"11","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
"12","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","1"
"10","15","5","5","100","100","""1. fixed : flood""","""random""","10","10","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","0.8666666666666667"
