"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday (1).nlogo"
"mv soft re cut?"
"04/20/2559 22:32:34:941 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","start-cut","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [workers-type != 0]"
"2","2","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.9333333333333333"
"3","3","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"4","4","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"5","5","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"6","6","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"7","7","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"1","1","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","0.8666666666666667"
"8","8","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"9","9","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"10","10","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"12","12","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"13","13","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"11","11","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"15","15","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"14","14","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"16","16","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"18","18","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"19","19","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"20","20","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"17","17","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"21","21","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"23","23","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"22","22","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"25","25","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"24","24","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"26","26","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"27","27","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"28","28","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"30","30","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"32","32","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"31","31","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"29","29","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
"33","33","15","100","100","""1. fixed : normal""","""random-seed""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1","1441","1"
