BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,,,
marcs_dday.nlogo,,,,,,,,,,,,,,,,,
mvsoft3dday1,,,,,,,,,,,,,,,,,
04/18/2559 04:45:12:256 +0700,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,
[run number],max-count-send,adversaries-rate,start-cut,number-workers,workers-probability,adversaries-type,problem-label,area.x,area.y,label-level,data-fusion,reputation-algorithm,use-cut-worker-by-penalty?,cut-workers-per-round,show-penalty?,[step],sum-correctness / floor(ticks / update-ticks)
3,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,85.6686827957
2,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,83.1002626843
8,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,80.722303577
5,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,83.431547619
6,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,82.5427807487
7,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,79.153317351
4,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,79.2439133459
13,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,84.4126340216
10,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,82.3108579639
14,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,82.9494739756
9,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,82.2447424699
11,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,82.3544673967
12,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,85.0851101218
15,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,83.3292655157
16,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,80.8885707854
18,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,81.8270348837
17,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,80.4162207566
20,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,85.1479377104
22,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,78.6666039157
19,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,80.9288101604
21,2,15,5,100,100,"""3. perfect""","""random""",10,10,"""2 Levels""","""Majority Voting""","""Soft Penalty""",true,1,false,1441,83.6939548547
