"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"result3"
"03/18/2559 18:39:05:504 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","use-cut-worker-by-penalty?","area.x","area.y","adversaries-rate","workers-probability","number-workers","adversaries-type","problem-label","label-level","data-fusion","reputation-algorithm","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"6","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.39583333333333"
"8","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.9375"
"3","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","92.9375"
"7","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.16666666666667"
"2","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.83333333333333"
"5","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.375"
"4","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.41666666666667"
"1","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.41666666666667"
"9","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.22916666666667"
"10","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.45833333333333"
"12","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","93.72916666666667"
"11","true","10","10","10","75","100","""3. perfect""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","94.60416666666667"
