"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"result5"
"03/19/2559 09:58:56:150 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","use-cut-worker-by-penalty?","area.x","area.y","workers-probability","number-workers","adversaries-type","problem-label","label-level","data-fusion","reputation-algorithm","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"2","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"8","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"6","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"3","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"7","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"4","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"5","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"9","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"11","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"10","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"12","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"13","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"14","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"15","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"16","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"17","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"19","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"18","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"20","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"21","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"1","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"22","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"23","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"24","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"25","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"26","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
"28","0","true","1","1","75","100","""2. random""","""normal""","""2 Levels""","""Majority Voting""","""Soft Penalty""","10","false","1441","100"
